2022-10-15 06:46:14 status half-installed libnewt0.52:amd64 0.52.21-4+b3
2022-10-15 06:46:14 status unpacked libnewt0.52:amd64 0.52.21-4+b3
2022-10-15 06:46:14 install libnl-3-200:amd64 <none> 3.4.0-1+b1
2022-10-15 06:46:14 status half-installed libnl-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:14 status unpacked libnl-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:14 install libnl-genl-3-200:amd64 <none> 3.4.0-1+b1
2022-10-15 06:46:14 status half-installed libnl-genl-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:14 status unpacked libnl-genl-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:14 install libnl-route-3-200:amd64 <none> 3.4.0-1+b1
2022-10-15 06:46:14 status half-installed libnl-route-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:14 status unpacked libnl-route-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:15 install libnm0:amd64 <none> 1.30.6-1+deb11u1
2022-10-15 06:46:15 status half-installed libnm0:amd64 1.30.6-1+deb11u1
2022-10-15 06:46:15 status unpacked libnm0:amd64 1.30.6-1+deb11u1
2022-10-15 06:46:15 install libpcap0.8:amd64 <none> 1.10.0-2
2022-10-15 06:46:15 status half-installed libpcap0.8:amd64 1.10.0-2
2022-10-15 06:46:15 status unpacked libpcap0.8:amd64 1.10.0-2
2022-10-15 06:46:15 install libpcsclite1:amd64 <none> 1.9.1-1
2022-10-15 06:46:15 status half-installed libpcsclite1:amd64 1.9.1-1
2022-10-15 06:46:15 status unpacked libpcsclite1:amd64 1.9.1-1
2022-10-15 06:46:15 install libpolkit-gobject-1-0:amd64 <none> 0.105-31+deb11u1
2022-10-15 06:46:15 status half-installed libpolkit-gobject-1-0:amd64 0.105-31+deb11u1
2022-10-15 06:46:15 status unpacked libpolkit-gobject-1-0:amd64 0.105-31+deb11u1
2022-10-15 06:46:15 install libpolkit-agent-1-0:amd64 <none> 0.105-31+deb11u1
2022-10-15 06:46:15 status half-installed libpolkit-agent-1-0:amd64 0.105-31+deb11u1
2022-10-15 06:46:15 status unpacked libpolkit-agent-1-0:amd64 0.105-31+deb11u1
2022-10-15 06:46:15 install libqmi-glib5:amd64 <none> 1.26.10-0.1
2022-10-15 06:46:15 status half-installed libqmi-glib5:amd64 1.26.10-0.1
2022-10-15 06:46:15 status unpacked libqmi-glib5:amd64 1.26.10-0.1
2022-10-15 06:46:15 install libqmi-proxy:amd64 <none> 1.26.10-0.1
2022-10-15 06:46:15 status half-installed libqmi-proxy:amd64 1.26.10-0.1
2022-10-15 06:46:15 status unpacked libqmi-proxy:amd64 1.26.10-0.1
2022-10-15 06:46:15 install libteamdctl0:amd64 <none> 1.31-1
2022-10-15 06:46:15 status half-installed libteamdctl0:amd64 1.31-1
2022-10-15 06:46:15 status unpacked libteamdctl0:amd64 1.31-1
2022-10-15 06:46:15 install libusb-1.0-0:amd64 <none> 2:1.0.24-3
2022-10-15 06:46:15 status half-installed libusb-1.0-0:amd64 2:1.0.24-3
2022-10-15 06:46:15 status unpacked libusb-1.0-0:amd64 2:1.0.24-3
2022-10-15 06:46:16 install policykit-1:amd64 <none> 0.105-31+deb11u1
2022-10-15 06:46:16 status half-installed policykit-1:amd64 0.105-31+deb11u1
2022-10-15 06:46:16 status unpacked policykit-1:amd64 0.105-31+deb11u1
2022-10-15 06:46:16 install modemmanager:amd64 <none> 1.14.12-0.2
2022-10-15 06:46:16 status half-installed modemmanager:amd64 1.14.12-0.2
2022-10-15 06:46:16 status triggers-pending hicolor-icon-theme:all 0.17-2
2022-10-15 06:46:16 status unpacked modemmanager:amd64 1.14.12-0.2
2022-10-15 06:46:16 install wpasupplicant:amd64 <none> 2:2.9.0-21
